item_id;domain;aspect;reverse;english_obs;german_obs;hungarian_obs
26;Conscientiousness;Industriousness;1;He/She doesn't put his/her mind on the task at hand.;Er/Sie ist manchmal mit den Gedanken nicht bei der Sache.;Nem tud koncentrálni az éppen végzett feladatra.
27;Conscientiousness;Industriousness;0;He/She gets things done quickly.;Er/Sie erledigt Aufgaben rasch.;Gyorsan elvégzi a feladatait.
28;Conscientiousness;Industriousness;0;He/She always knows what he/she is doing.;Er/Sie weiß immer, was er/sie tut.;Mindig tudja, mit csinál.
29;Conscientiousness;Industriousness;1;He/She postpones decisions.;Er/Sie schiebt Entscheidungen auf.;Halogatja a döntéseket.
30;Conscientiousness;Industriousness;1;He/She is easily distracted.;Er/Sie lässt sich leicht ablenken.;Könnyen elterelhető a figyelme.
31;Conscientiousness;Orderliness;1;He/She leaves his/her belongings around.;Er/Sie lässt seine/ihre Sachen herumliegen.;Szanaszét hagyja a holmijait.
32;Conscientiousness;Orderliness;0;He/She likes order.;Er/Sie mag Ordnung.;Szereti a rendet.
33;Conscientiousness;Orderliness;0;He/She keeps things tidy.;Er/Sie räumt seine/ihre Sachen stets auf.;Rendben tartja a dolgait.
34;Conscientiousness;Orderliness;0;He/She follows a schedule.;Er/Sie hält sich an Zeitpläne.;Követi a beosztását.
35;Conscientiousness;Orderliness;1;He/She is not bothered by messy people.;Es stört ihn/sie nicht, wenn andere Menschen unordentlich sind.;Nem zavarja, ha mások rendetlenek.
36;Conscientiousness;Orderliness;0;"He/She wants everything to be ""just right."",Er/Sie wünscht sich, dass alles perfekt ist.";Azt akarja;"hogy minden „éppen megfelelő"" legyen."
37;Conscientiousness;Orderliness;1;He/She is not bothered by disorder.;Unordnung stört ihn/sie nicht.;Nem zavarja a rendetlenség.
38;Conscientiousness;Orderliness;1;He/She dislikes routine.;Routine mag er/sie nicht.;Nem szereti a rutint.
39;Conscientiousness;Orderliness;0;He/She sees that rules are observed.;Er/Sie achtet darauf, dass Regeln eingehalten werden.;Ügyel arra, hogy a szabályokat betartsák.
40;Conscientiousness;Orderliness;0;He/She wants every detail taken care of.;Er/Sie legt großen Wert auf Details.;Azt akarja, hogy minden részlet rendben legyen.
41;Extraversion;Assertiveness;0;He/She takes charge.;Er/Sie übernimmt Verantwortung.;Átveszi az irányítást.
42;Extraversion;Assertiveness;0;He/She has a strong personality.;Er/Sie hat eine starke Persönlichkeit.;Erős személyisége van.
43;Extraversion;Assertiveness;1;He/She lacks the talent for influencing people.;Er/Sie ist nicht gut darin, andere zu beeinflussen.;Hiányzik belőle a tehetség, hogy befolyásolja az embereket.
44;Extraversion;Assertiveness;0;He/She knows how to captivate people.;Er/Sie kann andere faszinieren.;Tudja, hogyan ragadja meg az emberek figyelmét.
45;Extraversion;Assertiveness;1;He/She waits for others to lead the way.;Er/Sie überlässt es anderen, den Weg zu weisen.;Megvárja, hogy mások mutassák az utat.
46;Extraversion;Assertiveness;0;He/She sees him/herself as a good leader.;Er/Sie ist gut darin;Führung zu übernehmen.,Jó vezetőnek tartja magát.
47;Extraversion;Assertiveness;0;He/She can talk others into doing things.;Er/Sie kann andere dazu bringen, Dinge zu tun.;Meg tudja győzni másokat, hogy tegyenek meg dolgokat.
48;Extraversion;Assertiveness;1;He/She holds back his/her opinions.;Er/Sie hält sich mit seiner/ihrer Meinung eher zurück.;Visszatartja a véleményét.
49;Extraversion;Assertiveness;0;He/She is the first to act.;Er/Sie übernimmt häufig die Initiative.;Ő cselekszik elsőként.
50;Extraversion;Assertiveness;1;He/She does not have an assertive personality.;Er/Sie ist nicht durchsetzungsfähig.;Nem határozott személyiség.
51;Extraversion;Enthusiasm;0;He/She makes friends easily.;Es fällt ihm/ihr leicht, neue Freundschaften zu schließen.;Könnyen köt barátságokat.
52;Extraversion;Enthusiasm;1;He/She is hard to get to know.;Ihn/Sie näher kennenzulernen fällt schwer.;Nehéz megismerni őt.
53;Extraversion;Enthusiasm;1;He/She keeps others at a distance.;Er/Sie hält andere auf Distanz.;Távolságot tart másoktól.
54;Extraversion;Enthusiasm;1;He/She reveals little about him/herself.;Er/Sie gibt wenig über sich preis.;Keveset árul el magáról.
55;Extraversion;Enthusiasm;0;He/She warms up quickly to others.;Er/Sie lernt schnell neue Leute kennen.;Hamar megbarátkozik másokkal.
56;Extraversion;Enthusiasm;1;He/She rarely gets caught up in the excitement.;Er/Sie lässt sich nicht durch den Trubel der Ereignisse mitreißen.;Ritkán ragadja magával a lelkesedés.
57;Extraversion;Enthusiasm;1;He/She is not a very enthusiastic person.;Er/Sie ist keine besonders enthusiastische Person.;Nem különösebben lelkes személyiség.
58;Extraversion;Enthusiasm;0;He/She shows his/her feelings when happy.;Wenn er/sie glücklich ist, zeigt er/sie das auch.;Megmutatja az érzéseit, amikor boldog.
59;Extraversion;Enthusiasm;0;He/She has a lot of fun.;Er/Sie hat viel Spaß.;Sokat szórakozik.
60;Extraversion;Enthusiasm;0;He/She laughs a lot.;Er/Sie lacht viel.;Sokat nevet.
61;Neuroticism;Volatility;0;He/She gets angry easily.;Er/Sie wird schnell ärgerlich.;Könnyen dühbe gurul.
62;Neuroticism;Volatility;1;He/She rarely gets irritated.;Er/Sie ist selten irritiert.;Ritkán bosszankodik.
63;Neuroticism;Volatility;0;He/She gets upset easily.;Er/Sie gerät leicht aus der Fassung.;Könnyen felzaklat.
64;Neuroticism;Volatility;1;He/She keeps his/her emotions under control.;Er/Sie kann seine/ihre Gefühle gut kontrollieren.;Kézben tartja az érzelmeit.
65;Neuroticism;Volatility;0;He/She changes mood a lot.;Seine/Ihre Stimmung ändert sich häufig.;Sokat változik a hangulata.
66;Neuroticism;Volatility;1;He/She rarely loses composure.;Es kommt selten vor, dass er/sie die Fassung verliert.;Ritkán veszíti el a nyugalmát.
67;Neuroticism;Volatility;0;He/She is a person whose moods go up and down easily.;Er/Sie ist eine Person, deren Stimmung sich leicht verändert.;Olyan ember, akinek a hangulata könnyen ingadozik.
68;Neuroticism;Volatility;1;He/She is not easily annoyed.;Er/Sie ist nicht schnell verärgert.;Nem bosszantódik fel könnyen.
69;Neuroticism;Volatility;0;He/She gets easily agitated.;Er/Sie ist schnell aufgewühlt.;Könnyen izgatott lesz.
70;Neuroticism;Volatility;0;He/She can be stirred up easily.;Er/Sie ist schnell gerührt.;Könnyen felkavaró hatással van rá valami.
71;Neuroticism;Withdrawal;1;He/She seldom feels blue.;Er/Sie ist selten deprimiert.;Ritkán érzi magát rosszkedvűnek.
72;Neuroticism;Withdrawal;0;He/She is filled with doubts about things.;Er/Sie ist häufig beunruhigt.;Tele van kétségekkel a dolgokat illetően.
73;Neuroticism;Withdrawal;1;He/She feels comfortable with him/herself.;Er/Sie ist mit sich zufrieden.;Jól érzi magát a bőrében.
74;Neuroticism;Withdrawal;0;He/She feels threatened easily.;Er/Sie fühlt sich schnell bedroht.;Könnyen érzi magát fenyegetve.
75;Neuroticism;Withdrawal;1;He/She rarely feels depressed.;Es kommt selten vor;dass er/sie sich niedergeschlagen fühlt.,Ritkán érzi magát depressziósnak.
76;Neuroticism;Withdrawal;0;He/She worries about things.;Er/Sie macht sich häufig Sorgen.;Aggódik a dolgok miatt.
77;Neuroticism;Withdrawal;0;He/She is easily discouraged.;Er/Sie lässt sich schnell entmutigen.;Könnyen elveszíti a bátorságát.
78;Neuroticism;Withdrawal;1;He/She is not embarrassed easily.;Ihm/Ihr ist selten etwas peinlich.;Nem esik könnyen zavarba.
79;Neuroticism;Withdrawal;0;He/She becomes overwhelmed by events.;Manchmal ist ihm/ihr alles zu viel.;Elárasztják az események.
80;Neuroticism;Withdrawal;0;He/She is afraid of many things.;Er/Sie sorgt sich über viele Dinge.;Sok mindentől fél.
81;Openness;Intellect;0;He/She is quick to understand things.;Er/Sie hat eine gute Auffassungsgabe.;Gyorsan megérti a dolgokat.
82;Openness;Intellect;1;He/She has difficulty understanding abstract ideas.;Er/Sie hat Schwierigkeiten, abstrakte Ideen zu verstehen.;Nehezen érti meg az elvont gondolatokat.
83;Openness;Intellect;0;He/She can handle a lot of information.;Er/Sie kann mit einer großen Menge an Informationen umgehen.;Képes sok információt kezelni.
84;Openness;Intellect;0;He/She likes to solve complex problems.;Es bereitet ihm/ihr Freude;komplexe Probleme zu lösen.,Szeret összetett problémákat megoldani.
85;Openness;Intellect;1;He/She avoids philosophical discussions.;Er/Sie vermeidet philosophische Diskussionen.;Kerüli a filozofikus vitákat.
86;Openness;Intellect;1;He/She avoids difficult reading material.;Er/Sie vermeidet schwierigen Lesestoff.;Kerüli a nehéz olvasnivalókat.
87;Openness;Intellect;0;He/She has a rich vocabulary.;Er/Sie hat einen reichen Wortschatz.;Gazdag szókincse van.
88;Openness;Intellect;0;He/She thinks quickly.;Er/Sie hat eine schnelle Auffassungsgabe.;Gyorsan gondolkodik.
89;Openness;Intellect;1;He/She learns things slowly.;Er/Sie braucht manchmal länger, um etwas Neues zu lernen.;Lassan tanul meg új dolgokat.
90;Openness;Intellect;0;He/She formulates ideas clearly.;Er/Sie kann Gedanken klar formulieren.;Világosan fogalmazza meg a gondolatait.
91;Openness;Openness;0;He/She enjoys the beauty of nature.;Es bereitet ihm/ihr Freude;die Schönheit der Natur zu genießen.,Élvezi a természet szépségét.
92;Openness;Openness;0;He/She believes in the importance of art.;Kunst ist sehr wichtig für ihn/sie.;Hisz a művészet fontosságában.
93;Openness;Openness;0;He/She loves to reflect on things.;Es bereitet ihm/ihr Freude;über die Dinge nachzudenken.,Szeret elmélyedni a dolgokban.
94;Openness;Openness;0;He/She gets deeply immersed in music.;Er/Sie geht manchmal völlig in einer Musik auf;die er/sie hört.,Mélyen elmerül a zenében.
95;Openness;Openness;1;He/She does not like poetry.;Poesie beeindruckt ihn/sie wenig oder gar nicht.;Nem szereti a költészetet.
96;Openness;Openness;1;He/She seldom notices the emotional aspects of paintings and pictures.;Gemälde oder Fotografien berühren ihn/sie nicht.;Ritkán veszi észre a festmények és képek érzelmi aspektusait.
97;Openness;Openness;0;He/She needs a creative outlet.;Er/Sie muss sich kreativ betätigen.;Szüksége van egy kreatív levezetési lehetőségre.
98;Openness;Openness;1;He/She seldom gets lost in thought.;Es passiert selten, dass er/sie seinen/ihren Gedanken nachhängt.;Ritkán merül el a gondolataiban.
99;Openness;Openness;1;He/She seldom daydreams.;Es kommt selten vor, dass er/sie Tagträumen nachgeht.;Ritkán álmodozik.
100;Openness;Openness;0;He/She sees beauty in things that others might not notice.;Er/Sie sieht in manchen Dingen etwas Schönes, das anderen verborgen bleibt.;Szépséget lát olyan dolgokban, amelyeket mások talán észre sem vesznek.
