item_id;domain;facet;reverse;english;german;hungarian
20;Conscientiousness;Prudence;1;I make decisions based on the feeling of the moment rather than on careful thought.;Ich treffe Entscheidungen eher aus dem Bauch heraus als durch sorgfältiges Nachdenken.;Inkább a pillanatnyi érzelmeim, mint a gondos megfontolás vezet a döntéseimben.
21;Agreeableness;Patience;1;People think of me as someone who has a quick temper.;Andere halten mich für jähzornig.;Az emberek robbanékony természetűnek tartanak.
22;Extraversion;Liveliness;0;I am energetic nearly all the time.;Ich bin fast immer voller Energie.;Szinte mindig tele vagyok energiával.
23;Emotionality;Sentimentality;0;I feel like crying when I see other people crying.;Ich könnte weinen, wenn ich andere Personen sehe, die weinen.;Úgy érzem engem is elkap a sírás, ha másokat sírni látok.
24;Honesty-Humility;Modesty;0;I am an ordinary person who is no better than others.;Ich bin eine ganz normale Person, die nicht besser ist als andere.;Olyan vagyok mint a többi ember: se jobb, se rosszabb.
25;Openness to Experience;Aesthetic Appreciation;1;I wouldn't spend my time reading a book of poetry.;Ich würde meine Zeit nicht damit verbringen, einen Gedichtband zu lesen.;Nem fordítanám az időm egy verses kötet olvasására.
26;Conscientiousness;Organization;0;I plan ahead and organize things, to avoid scrambling at the last minute.;Ich plane im Voraus und organisiere, damit in letzter Minute kein Zeitdruck aufkommt.;A dolgaimat előre eltervezem, hogy elkerüljem az utolsó percben való kapkodást.
27;Agreeableness;Forgiveness;0;"My attitude toward people who have treated me badly is ""forgive and forget"".";"Meine Einstellung gegenüber Personen, die mich schlecht behandelt haben, ist ""vergeben und vergessen"".";Ha valaki rosszul bánt velem, képes vagyok megbocsátani és a feledés fátylát borítani a történtekre.
28;Extraversion;Social Self-Esteem;0;I think that most people like some aspects of my personality.;Ich glaube, dass die meisten Menschen einige Aspekte meines Charakters mögen.;Úgy gondolom, hogy az emberek többsége talál bennem szimpatikus vonásokat.
29;Emotionality;Fearfulness;1;I don't mind doing jobs that involve dangerous work.;Es stört mich nicht, Arbeiten zu erledigen, die gefährlich sind.;Nem zavar, ha a munkám veszélyekkel is jár.
30;Honesty-Humility;Sincerity;0;I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.;Ich würde keine Schmeicheleien benutzen, um eine Gehaltserhöhung zu bekommen oder befördert zu werden, auch wenn ich wüsste, dass es erfolgreich wäre.;Akkor sem hízelegnék a főnökömnek, ha tudnám, fizetésemelést vagy előrelépést érnék el vele.
31;Openness to Experience;Inquisitiveness;0;I enjoy looking at maps of different places.;Ich mag es, Landkarten von anderen Orten zu betrachten.;Szívesen nézegetem idegen helyek térképeit.
32;Conscientiousness;Diligence;0;I often push myself very hard when trying to achieve a goal.;Ich treibe mich oft selbst sehr stark an, wenn ich versuche, ein Ziel zu erreichen.;Céljaim elérésére gyakran minden erőmet bevetem.
33;Agreeableness;Gentleness;0;I generally accept people's faults without complaining about them.;Ich akzeptiere im Allgemeinen die Schwächen anderer, ohne mich darüber zu beschweren.;Általában zokszó nélkül elfogadom mások hibáit.
34;Extraversion;Social Boldness;0;In social situations, I'm usually the one who makes the first move.;In sozialen Situationen bin ich gewöhnlich der, der den ersten Schritt macht.;Társas helyzetekben általában én vagyok az, aki beszélgetést kezdeményez.
35;Emotionality;Anxiety;1;I worry a lot less than most people do.;Ich mache mir viel weniger Sorgen als die meisten Leute.;Sokkal kevesebbet aggodalmaskodom mint általában a többi ember szokott.
36;Honesty-Humility;Fairness;1;I would be tempted to buy stolen property if I were financially tight.;Ich würde in Versuchung geraten, Diebesgut zu kaufen, wenn ich knapp bei Kasse wäre.;Szűkös anyagi helyzetben kísértésbe tudnék esni, hogy lopott árut vásároljak.
37;Openness to Experience;Creativity;0;I would enjoy creating a work of art, such as a novel, a song, or a painting.;Ich würde es genießen, ein Kunstwerk zu schaffen, etwa einen Roman, ein Lied oder ein Gemälde.;Szívesen alkotnék valami művészi munkát: egy regényt, zeneszámot, vagy festményt.
38;Conscientiousness;Perfectionism;1;When working on something, I don't pay much attention to small details.;Wenn ich an irgendetwas arbeite, beachte ich kleine Details nicht allzu sehr.;Ha dolgozom valamin, nem igazán fordítok különös figyelmet az apró részletekre.
39;Agreeableness;Flexibility;0;I am usually quite flexible in my opinions when people disagree with me.;Ich bin gewöhnlich ziemlich flexibel in meinen Ansichten, wenn andere Leute mir nicht zustimmen.;Általában könnyen megváltoztatom a véleményem, ha az emberek nem értenek vele egyet.
40;Extraversion;Sociability;0;I enjoy having lots of people around to talk with.;Ich genieße es, viele Leute um mich herum zu haben, mit denen ich reden kann.;Szeretem ha sokan vesznek körül és élénk beszélgetés folyik.
41;Emotionality;Dependence;1;I can handle difficult situations without needing emotional support from anyone else.;Ich kann mit schwierigen Situationen umgehen, ohne dass ich emotionale Unterstützung von irgendjemandem brauche.;Nehezebb helyzetekkel is elboldogulok anélkül, hogy érzelmi támogatásra lenne szükségem.
42;Honesty-Humility;Greed-Avoidance;1;I would like to live in a very expensive, high-class neighborhood.;Ich würde gerne in einer sehr teuren, angesehenen Nachbarschaft wohnen.;Szívesen laknék egy gazdag és előkelő negyedben.
43;Openness to Experience;Unconventionality;0;I like people who have unconventional views.;Ich mag Leute, die unkonventionelle Ideen haben.;Nekem szimpatikusak azok az emberek, akiknek eredeti, az átlagtól eltérő nézeteik vannak.
44;Conscientiousness;Prudence;1;I make a lot of mistakes because I don't think before I act.;Ich mache viele Fehler, weil ich nicht nachdenke, bevor ich handele.;Sok hibát követek el, mert előbb cselekszem és csak aztán gondolkodom.
45;Agreeableness;Patience;0;I rarely feel anger, even when people treat me quite badly.;Ich werde selten wütend, selbst wenn andere mich ziemlich schlecht behandeln.;Nem szoktam felkapni a vizet akkor sem, ha valaki rosszul bánik velem.
46;Extraversion;Liveliness;0;On most days, I feel cheerful and optimistic.;An den meisten Tagen bin ich fröhlich und optimistisch.;Többnyire vidám és optimista vagyok.
47;Emotionality;Sentimentality;0;When someone I know well is unhappy, I can almost feel that person's pain myself.;Wenn jemand, den ich gut kenne, unglücklich ist, kann ich den Schmerz dieser Person fast selber spüren.;Ha valaki akit jól ismerek el van keseredve, szinte fizikailag érzem a fájdalmát.
48;Honesty-Humility;Modesty;0;I wouldn't want people to treat me as though I were superior to them.;Ich will nicht, dass andere Leute mich behandeln, als ob ich ihnen überlegen sei.;Nem szeretném ha mások különbnek tartanának maguknál.
49;Openness to Experience;Aesthetic Appreciation;0;If I had the opportunity, I would like to attend a classical music concert.;Wenn ich die Gelegenheit dazu hätte, würde ich gerne ein Konzert mit klassischer Musik besuchen.;Ha az alkalom úgy hozná, szívesen elmennék egy klasszikus koncertre.
50;Conscientiousness;Organization;1;People often joke with me about the messiness of my room or desk.;Andere machen oft mit mir zusammen Witze über die Unordentlichkeit meines Zimmers oder Schreibtisches.;Mások sokszor ugratnak a rendetlenségem miatt.
51;Agreeableness;Forgiveness;1;If someone has cheated me once, I will always feel suspicious of that person.;Wenn mich jemand einmal betrogen hat, werde ich dieser Person gegenüber immer misstrauisch bleiben.;Ha valaki egyszer már átvert, azzal szemben mindig is gyanakvó maradok.
52;Extraversion;Social Self-Esteem;1;I feel that I am an unpopular person.;Ich bin der Meinung, dass ich nicht beliebt bin.;Úgy érzem, hogy népszerűtlen vagyok.
53;Emotionality;Fearfulness;0;When it comes to physical danger, I am very fearful.;Wenn es um körperliche Gefahren geht, bin ich sehr ängstlich.;Testi épségemet veszélyeztető helyzetekben nagyon félek.
54;Honesty-Humility;Sincerity;1;If I want something from someone, I will laugh at that person's worst jokes.;Wenn ich von jemandem etwas will, lache ich auch noch über dessen schlechteste Witze.;Ha valakitől valamit akarok, akkor még a faviccein is képes vagyok nevetni.
55;Openness to Experience;Inquisitiveness;1;I would be very bored by a book about the history of science and technology.;Ich wäre von einem Buch über die Geschichte der Wissenschaft und Technik sehr gelangweilt.;Egy, a tudomány és technika történetéről szóló könyv, a végletekig untatna.
56;Conscientiousness;Diligence;1;Often when I set a goal, I end up quitting without having reached it.;Wenn ich mir ein Ziel setze, gebe ich oft auf, bevor ich es erreicht habe.;Ha kitűzök egy célt magam elé, gyakran feladom mielőtt elérném.
57;Agreeableness;Gentleness;0;I tend to be lenient in judging other people.;Ich neige dazu, nachsichtig zu sein, wenn ich andere beurteile.;Jobbára jóindulattal ítélkezem mások felett.
58;Extraversion;Social Boldness;0;When I'm in a group of people, I'm often the one who speaks on behalf of the group.;Wenn ich in einer Gruppe von Leuten bin, bin ich oft derjenige, der im Namen der Gruppe spricht.;Ha egy csoport tagja vagyok, gyakran leszek a szóvivője is.
59;Emotionality;Anxiety;1;I rarely, if ever, have trouble sleeping due to stress or anxiety.;Ich habe selten, wenn überhaupt, Schlafprobleme durch Stress oder Angst.;Szinte sosincs gondom az alvással stressz vagy szorongás miatt.
60;Honesty-Humility;Fairness;0;I would never accept a bribe, even if it were very large.;Ich würde niemals Bestechungsgeld annehmen, auch wenn es sehr viel wäre.;Sosem hagynám magam megvesztegetni, mindegy mekkora is lenne az az ajánlat.
61;Openness to Experience;Creativity;0;People have often told me that I have a good imagination.;Man hat mir schon oft gesagt, dass ich eine gute Vorstellungskraft habe.;Sokszor mondták már nekem, hogy jó a fantáziám.
62;Conscientiousness;Perfectionism;0;I always try to be accurate in my work, even at the expense of time.;Ich versuche immer, fehlerfrei zu arbeiten, auch wenn es Zeit kostet.;A munkámban megpróbálok még akkor is mindig precíznek lenni, ha ez többletidőmbe kerül.
63;Agreeableness;Flexibility;1;When people tell me that I'm wrong, my first reaction is to argue with them.;Wenn mir andere sagen, dass ich falsch liege, ist meine erste Reaktion, mit ihnen zu streiten.;Ha azt mondják, hogy nincs igazam, az első reakcióm, hogy vitába szállok.
64;Extraversion;Sociability;0;I prefer jobs that involve active social interaction to those that involve working alone.;Ich ziehe Berufe, in denen man sich aktiv mit anderen Menschen auseinandersetzt solchen vor, in denen man alleine arbeitet.;Inkább az olyan munkákat szeretem ahol emberekkel kell foglalkozni, mint ahol egyedül kell dolgozni.
65;Emotionality;Dependence;0;Whenever I feel worried about something, I want to share my concern with another person.;Wenn ich mir um irgendetwas Sorgen mache, will ich meine Sorgen mit einer anderen Person teilen.;Ha valami aggaszt, szeretem megosztani valakivel a gondom.
66;Honesty-Humility;Greed-Avoidance;1;I would like to be seen driving around in a very expensive car.;Ich würde gerne dabei gesehen werden, wie ich in einem sehr teuren Auto herumfahre.;Klassz lenne, ha az emberek látnák amint egy jó drága autóban ülve vezetek.
67;Openness to Experience;Unconventionality;0;I think of myself as a somewhat eccentric person.;Ich halte mich selber für eine etwas exzentrische Person.;Azt hiszem, kissé különc vagyok.
68;Conscientiousness;Prudence;0;I don't allow my impulses to govern my behavior.;Ich lasse nicht zu, dass meine Impulse mein Verhalten dominieren.;Nem engedem, hogy a pillanatnyi érzelmeim irányítsák a viselkedésem.
69;Agreeableness;Patience;0;Most people tend to get angry more quickly than I do.;Die meisten Leute werden schneller ärgerlich als ich.;A legtöbb embert könnyebb felbosszantani mint engem.
70;Extraversion;Liveliness;1;People often tell me that I should try to cheer up.;Andere sagen mir oft, dass ich versuchen sollte, etwas fröhlicher zu sein.;Sokszor mondják nekem, hogy ne legyek olyan búval bélelt.
71;Emotionality;Sentimentality;0;I feel strong emotions when someone close to me is going away for a long time.;Ich fühle starke Emotionen, wenn jemand, der mir nahe steht, für eine längere Zeit weggeht.;Nagyon megindít, ha hozzám közelálló személyektől kell hosszú távra elbúcsúznom.
72;Honesty-Humility;Modesty;1;I think that I am entitled to more respect than the average person is.;Ich denke, dass ich mehr Respekt verdiene als ein durchschnittlicher Mensch.;Úgy érzem, hogy több elismerés jár nekem mint egy átlagembernek.
73;Openness to Experience;Aesthetic Appreciation;0;Sometimes I like to just watch the wind as it blows through the trees.;Manchmal mag ich es, einfach nur dem Wind zuzusehen, wie er durch die Bäume bläst.;Néha szeretem nézni, ahogy a szél bolyong a fák között.
74;Conscientiousness;Organization;1;When working, I sometimes have difficulties due to being disorganized.;Wenn ich arbeite, habe ich manchmal Schwierigkeiten, weil ich unorganisiert bin.;A munkámban néha hátráltat, hogy nem vagyok jól organizált.
75;Agreeableness;Forgiveness;1;I find it hard to fully forgive someone who has done something mean to me.;Es fällt mir schwer, jemandem vollkommen zu vergeben, der mir etwas Gemeines angetan hat.;Nehezemre esik teljes szívből megbocsátani, ha csúnyán megbántottak.
76;Extraversion;Social Self-Esteem;1;I sometimes feel that I am a worthless person.;Manchmal habe ich den Eindruck, dass ich wertlos bin.;Néha az az érzésem, hogy értéktelen ember vagyok.
77;Emotionality;Fearfulness;1;Even in an emergency I wouldn't feel like panicking.;Selbst in einem Notfall würde ich nicht in Panik geraten.;Még egy vészhelyzetben sem veszteném el a fejem.
78;Honesty-Humility;Sincerity;0;I wouldn't pretend to like someone just to get that person to do favors for me.;Ich würde nicht vortäuschen, jemanden zu mögen, nur um diese Person dazu zu bringen, mir Gefälligkeiten zu erweisen.;Nem tettetném, hogy kedvelek valakit csak azért, hogy rávegyem egy szívességre.
79;Openness to Experience;Inquisitiveness;1;I've never really enjoyed looking through an encyclopedia.;Ich habe es noch nie wirklich gemocht, eine Enzyklopädie durchzublättern.;Igazándiból még sohasem lapozgattam élvezettel egy lexikonban.
80;Conscientiousness;Diligence;1;I do only the minimum amount of work needed to get by.;Ich arbeite nur so viel wie nötig, um gerade so durchzukommen.;Ami a munkát illeti, csak a legszükségesebb erőbedobással dolgozom.
81;Agreeableness;Gentleness;0;Even when people make a lot of mistakes, I rarely say anything negative.;Selbst wenn Leute viele Fehler machen, sage ich nur selten etwas Negatives.;Még akkor sem nyilatkozom másokról negatívan, ha sok hibát követnek el.
82;Extraversion;Social Boldness;1;I tend to feel quite self-conscious when speaking in front of a group of people.;Ich fühle mich nicht ganz behaglich wenn ich vor einer Gruppe von Leuten spreche.;Nem szeretek sok ember előtt felszólalni vagy beszédet tartani.
83;Emotionality;Anxiety;0;I get very anxious when waiting to hear about an important decision.;Ich werde sehr unruhig, wenn ich auf eine wichtige Entscheidung warte.;Nagyon izgulok, ha egy fontos döntés eredményére kell várnom.
84;Honesty-Humility;Fairness;1;I'd be tempted to use counterfeit money, if I were sure I could get away with it.;Ich würde in die Versuchung geraten, Falschgeld zu benutzen, wenn ich sicher sein könnte, damit durchzukommen.;Kísértésbe vinne, hogy hamisított pénzt használjak, ha tudnám, biztos nem buknék le vele.
85;Openness to Experience;Creativity;1;I don't think of myself as the artistic or creative type.;Ich halte mich nicht für einen künstlerischen oder kreativen Menschen.;Nem hiszem, hogy én egy kreatív vagy művészileg tehetséges típus vagyok.
86;Conscientiousness;Perfectionism;0;People often call me a perfectionist.;Andere nennen mich oft einen Perfektionisten.;Az emberek gyakran tartanak perfekcionistának.
87;Agreeableness;Flexibility;1;I find it hard to compromise with people when I really think I'm right.;Es fällt mir schwer, mit anderen einen Kompromiss einzugehen, wenn ich überzeugt bin, dass ich Recht habe.;Nehezemre esik másokkal kompromisszumot kötni, mikor tulajdonképpen úgy érzem, hogy teljesen igazam van.
88;Extraversion;Sociability;0;The first thing that I always do in a new place is to make friends.;Das erste, was ich an einem neuen Ort tue, ist, Freundschaften zu schließen.;Ha egy új helyre kerülök, hamarosan új barátságokat is kötök.
89;Emotionality;Dependence;1;I rarely discuss my problems with other people.;Ich diskutiere selten meine Probleme mit anderen Leuten.;Szinte sosem vitatom meg másokkal a problémáimat.
90;Honesty-Humility;Greed-Avoidance;1;I would get a lot of pleasure from owning expensive luxury goods.;Es würde mir viel Freude bereiten, teure Luxusgüter zu besitzen.;Nagyon tudnék neki örülni, ha méregdrága, luxus cuccaim lennének.
91;Openness to Experience;Unconventionality;1;I find it boring to discuss philosophy.;Ich finde es langweilig, über Philosophie zu diskutieren.;A filozófiai eszmecseréket unalmasnak tartom.
92;Conscientiousness;Prudence;1;I prefer to do whatever comes to mind, rather than stick to a plan.;Ich ziehe es vor, das zu tun, was mir gerade in den Sinn kommt, anstatt an einem Plan festzuhalten.;Inkább spontán szeretek cselekedni, mint mindent előre eltervezni.
93;Agreeableness;Patience;1;I find it hard to keep my temper when people insult me.;Es fällt mir schwer, mich zu beherrschen, wenn Leute mich beleidigen.;Nehezemre esik uralkodni magamon, ha megsértenek.
94;Extraversion;Liveliness;1;Most people are more upbeat and dynamic than I generally am.;Die meisten Leute sind aufgedrehter und dynamischer als ich es im Allgemeinen bin.;A legtöbb ember dinamikusabb és élettelibb mint én vagyok.
95;Emotionality;Sentimentality;1;I remain unemotional even in situations where most people get very sentimental.;Ich bleibe emotionslos, selbst in Situationen, in denen die meisten Leute sehr sentimental werden.;Semleges maradok olyan helyzetekben is, ahol mások érzelmessé válnak.
96;Honesty-Humility;Modesty;1;I want people to know that I am an important person of high status.;Ich will, dass alle wissen, dass ich eine wichtige angesehene Person bin.;Azt szeretném, ha mások fontos és magas pozícióban lévő embernek tartanának.
97;Interstitial;Altruism;0;I have sympathy for people who are less fortunate than I am.;Ich habe Mitgefühl mit Menschen, die weniger Glück haben als ich.;Együttérzéssel tölt el, ha látom, másoknak kevesebb szerencse jutott az életben.
98;Interstitial;Altruism;0;I try to give generously to those in need.;Ich versuche, Notleidende großzügig zu unterstützen.;Megpróbálok adakozni a rászorulóknak.
99;Interstitial;Altruism;1;It wouldn't bother me to harm someone I didn't like.;Es würde mich nicht stören, jemandem zu schaden, den ich nicht mag.;Nem okozna lelkiismeretfurdalást ha valakit akit nem kedvelek megbántanék.
100;Interstitial;Altruism;1;People see me as a hard-hearted person.;Man hält mich für einen hartherzigen Menschen.;Keményszívű embernek tartanak.
