item_id;domain;aspect;reverse;english;german;hungarian
74;Neuroticism;Withdrawal;0;Feel threatened easily.;Ich fühle mich schnell bedroht.;Könnyen érzem magam fenyegetve.
75;Neuroticism;Withdrawal;1;Rarely feel depressed.;Es kommt selten vor;dass ich mich niedergeschlagen fühle.,Ritkán érzem magam depressziósnak.
76;Neuroticism;Withdrawal;0;Worry about things.;Ich mache mir häufig Sorgen.;Aggódom a dolgok miatt.
77;Neuroticism;Withdrawal;0;Am easily discouraged.;Ich lasse mich schnell entmutigen.;Könnyen elveszítem a bátorságomat.
78;Neuroticism;Withdrawal;1;Am not embarrassed easily.;Mir ist selten etwas peinlich.;Nem esek könnyen zavarba.
79;Neuroticism;Withdrawal;0;Become overwhelmed by events.;Manchmal ist mir alles zu viel.;Elárasztanak az események.
80;Neuroticism;Withdrawal;0;Am afraid of many things.;Ich sorge mich über viele Dinge.;Sok mindentől félek.
81;Openness;Intellect;0;Am quick to understand things.;Ich habe eine gute Auffassungsgabe.;Gyorsan megértem a dolgokat.
82;Openness;Intellect;1;Have difficulty understanding abstract ideas.;Ich habe Schwierigkeiten, abstrakte Ideen zu verstehen.;Nehezen értem meg az elvont gondolatokat.
83;Openness;Intellect;0;Can handle a lot of information.;Ich kann mit einer großen Menge an Informationen umgehen.;Képes vagyok sok információt kezelni.
84;Openness;Intellect;0;Like to solve complex problems.;Es bereitet mir Freude;komplexe Probleme zu lösen.,Szeretek összetett problémákat megoldani.
85;Openness;Intellect;1;Avoid philosophical discussions.;Ich vermeide philosophische Diskussionen.;Kerülöm a filozofikus vitákat.
86;Openness;Intellect;1;Avoid difficult reading material.;Ich vermeide schwierigen Lesestoff.;Kerülöm a nehéz olvasnivalókat.
87;Openness;Intellect;0;Have a rich vocabulary.;Ich habe einen reichen Wortschatz.;Gazdag szókincsem van.
88;Openness;Intellect;0;Think quickly.;Ich habe eine schnelle Auffassungsgabe.;Gyorsan gondolkodom.
89;Openness;Intellect;1;Learn things slowly.;Ich brauche manchmal länger, um etwas Neues zu lernen.;Lassan tanulok meg új dolgokat.
90;Openness;Intellect;0;Formulate ideas clearly.;Ich kann meine Gedanken klar formulieren.;Világosan fogalmazom meg a gondolataimat.
91;Openness;Openness;0;Enjoy the beauty of nature.;Es bereitet mir Freude;die Schönheit der Natur zu genießen.,Élvezem a természet szépségét.
92;Openness;Openness;0;Believe in the importance of art.;Kunst ist sehr wichtig für mich.;Hiszek a művészet fontosságában.
93;Openness;Openness;0;Love to reflect on things.;Es bereitet mir Freude;über die Dinge nachzudenken.,Szeretek elmélyedni a dolgokban.
94;Openness;Openness;0;Get deeply immersed in music.;Ich gehe manchmal völlig in einer Musik auf;die ich höre.,Mélyen elmerülök a zenében.
95;Openness;Openness;1;Do not like poetry.;Poesie beeindruckt mich wenig oder gar nicht.;Nem szeretem a költészetet.
96;Openness;Openness;1;Seldom notice the emotional aspects of paintings and pictures.;Gemälde oder Fotografien berühren mich nicht.;Ritkán veszem észre a festmények és képek érzelmi aspektusait.
97;Openness;Openness;0;Need a creative outlet.;Ich muss mich kreativ betätigen.;Szükségem van egy kreatív levezetési lehetőségre.
98;Openness;Openness;1;Seldom get lost in thought.;Es passiert selten, dass ich meinen Gedanken nachhänge.;Ritkán merülök el a gondolataimban.
99;Openness;Openness;1;Seldom daydream.;Es kommt selten vor, dass ich Tagträumen nachgehe.;Ritkán álmodozom.
100;Openness;Openness;0;See beauty in things that others might not notice.;In manchen Dingen sehe ich etwas Schönes, das anderen verborgen bleibt.;Szépséget látok olyan dolgokban, amelyeket mások talán észre sem vesznek.
